feature_name,feature_scope,source_family,unit,formula,strict_allowed,proxy_allowed,shadow_allowed
online__official_raw__season__ewma_sq_error_h40_c2,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__official_raw__season__ewma_sq_error_h5_c2,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__official_raw__season__expected_abs_error_h20_shrunk_c,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__official_raw__season__n_prior_rows,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__official_raw__season__neutral_streak_days,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__official_raw__season__overforecast_streak_days,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__official_raw__season__state_available,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__official_raw__season__underforecast_streak_days,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__official_raw__season__warmup_status_code,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__official_raw__source_era__correction_bias_h20_capped_c,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__official_raw__source_era__correction_bias_h20_shrunk_c,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__official_raw__source_era__error_volatility_h10_c,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__official_raw__source_era__error_volatility_h20_c,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__official_raw__source_era__error_volatility_h40_c,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__official_raw__source_era__error_volatility_h5_c,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__official_raw__source_era__ewma_abs_error_h10_c,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__official_raw__source_era__ewma_abs_error_h20_c,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__official_raw__source_era__ewma_abs_error_h40_c,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__official_raw__source_era__ewma_abs_error_h5_c,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__official_raw__source_era__ewma_bias_h10_c,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__official_raw__source_era__ewma_bias_h20_c,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__official_raw__source_era__ewma_bias_h40_c,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__official_raw__source_era__ewma_bias_h5_c,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__official_raw__source_era__ewma_sq_error_h10_c2,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__official_raw__source_era__ewma_sq_error_h20_c2,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__official_raw__source_era__ewma_sq_error_h40_c2,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__official_raw__source_era__ewma_sq_error_h5_c2,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__official_raw__source_era__expected_abs_error_h20_shrunk_c,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__official_raw__source_era__n_prior_rows,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__official_raw__source_era__neutral_streak_days,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__official_raw__source_era__overforecast_streak_days,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__official_raw__source_era__state_available,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__official_raw__source_era__underforecast_streak_days,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__official_raw__source_era__warmup_status_code,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__r0_router__global__correction_bias_h20_capped_c,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__r0_router__global__correction_bias_h20_shrunk_c,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__r0_router__global__error_volatility_h10_c,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__r0_router__global__error_volatility_h20_c,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__r0_router__global__error_volatility_h40_c,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__r0_router__global__error_volatility_h5_c,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__r0_router__global__ewma_abs_error_h10_c,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__r0_router__global__ewma_abs_error_h20_c,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__r0_router__global__ewma_abs_error_h40_c,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__r0_router__global__ewma_abs_error_h5_c,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__r0_router__global__ewma_bias_h10_c,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__r0_router__global__ewma_bias_h20_c,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__r0_router__global__ewma_bias_h40_c,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__r0_router__global__ewma_bias_h5_c,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__r0_router__global__ewma_sq_error_h10_c2,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__r0_router__global__ewma_sq_error_h20_c2,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__r0_router__global__ewma_sq_error_h40_c2,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__r0_router__global__ewma_sq_error_h5_c2,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__r0_router__global__expected_abs_error_h20_shrunk_c,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__r0_router__global__n_prior_rows,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__r0_router__global__neutral_streak_days,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__r0_router__global__overforecast_streak_days,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__r0_router__global__state_available,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__r0_router__global__underforecast_streak_days,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__r0_router__global__warmup_status_code,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__r1_router__global__correction_bias_h20_capped_c,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__r1_router__global__correction_bias_h20_shrunk_c,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__r1_router__global__error_volatility_h10_c,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__r1_router__global__error_volatility_h20_c,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__r1_router__global__error_volatility_h40_c,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__r1_router__global__error_volatility_h5_c,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__r1_router__global__ewma_abs_error_h10_c,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__r1_router__global__ewma_abs_error_h20_c,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__r1_router__global__ewma_abs_error_h40_c,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__r1_router__global__ewma_abs_error_h5_c,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__r1_router__global__ewma_bias_h10_c,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__r1_router__global__ewma_bias_h20_c,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__r1_router__global__ewma_bias_h40_c,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__r1_router__global__ewma_bias_h5_c,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__r1_router__global__ewma_sq_error_h10_c2,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__r1_router__global__ewma_sq_error_h20_c2,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__r1_router__global__ewma_sq_error_h40_c2,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__r1_router__global__ewma_sq_error_h5_c2,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__r1_router__global__expected_abs_error_h20_shrunk_c,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__r1_router__global__n_prior_rows,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__r1_router__global__neutral_streak_days,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__r1_router__global__overforecast_streak_days,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__r1_router__global__state_available,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__r1_router__global__underforecast_streak_days,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
online__r1_router__global__warmup_status_code,strict,online_residual_state,mixed,online residual states replayed from prior settled dates only,True,False,False
router__expected_abs_error_c,strict,router_derived,mixed,cutoff-safe OOF expert/router diagnostics derived inside Jira003 replay,True,False,False
router__expert_prediction_spread_c,strict,router_derived,mixed,cutoff-safe OOF expert/router diagnostics derived inside Jira003 replay,True,False,False
router__missing_expert_count,strict,router_derived,mixed,cutoff-safe OOF expert/router diagnostics derived inside Jira003 replay,True,False,False
target__clim30_mean_c,strict,target_memory,mixed,finalized target labels at T-2 or older only,True,False,False
target__clim30_mean_c__is_missing,strict,target_memory,mixed,finalized target labels at T-2 or older only,True,False,False
target__clim30_std_c,strict,target_memory,mixed,finalized target labels at T-2 or older only,True,False,False
target__clim30_std_c__is_missing,strict,target_memory,mixed,finalized target labels at T-2 or older only,True,False,False
target__cool_spell_length_lag2_days,strict,target_memory,mixed,finalized target labels at T-2 or older only,True,False,False
target__cool_spell_length_lag2_days__is_missing,strict,target_memory,mixed,finalized target labels at T-2 or older only,True,False,False
target__hot_spell_length_lag2_days,strict,target_memory,mixed,finalized target labels at T-2 or older only,True,False,False
target__hot_spell_length_lag2_days__is_missing,strict,target_memory,mixed,finalized target labels at T-2 or older only,True,False,False
target__lag14_tmax_c,strict,target_memory,mixed,finalized target labels at T-2 or older only,True,False,False
target__lag14_tmax_c__is_missing,strict,target_memory,mixed,finalized target labels at T-2 or older only,True,False,False
target__lag2_minus_clim30_c,strict,target_memory,mixed,finalized target labels at T-2 or older only,True,False,False
target__lag2_minus_clim30_c__is_missing,strict,target_memory,mixed,finalized target labels at T-2 or older only,True,False,False
target__lag2_minus_roll30_c,strict,target_memory,mixed,finalized target labels at T-2 or older only,True,False,False
target__lag2_minus_roll30_c__is_missing,strict,target_memory,mixed,finalized target labels at T-2 or older only,True,False,False
target__lag2_minus_roll7_c,strict,target_memory,mixed,finalized target labels at T-2 or older only,True,False,False
target__lag2_minus_roll7_c__is_missing,strict,target_memory,mixed,finalized target labels at T-2 or older only,True,False,False
target__lag2_tmax_c,strict,target_memory,mixed,finalized target labels at T-2 or older only,True,False,False
target__lag2_tmax_c__is_missing,strict,target_memory,mixed,finalized target labels at T-2 or older only,True,False,False
target__lag30_tmax_c,strict,target_memory,mixed,finalized target labels at T-2 or older only,True,False,False
target__lag30_tmax_c__is_missing,strict,target_memory,mixed,finalized target labels at T-2 or older only,True,False,False
target__lag365_tmax_c,strict,target_memory,mixed,finalized target labels at T-2 or older only,True,False,False
target__lag365_tmax_c__is_missing,strict,target_memory,mixed,finalized target labels at T-2 or older only,True,False,False
target__lag3_tmax_c,strict,target_memory,mixed,finalized target labels at T-2 or older only,True,False,False
target__lag3_tmax_c__is_missing,strict,target_memory,mixed,finalized target labels at T-2 or older only,True,False,False
target__lag60_tmax_c,strict,target_memory,mixed,finalized target labels at T-2 or older only,True,False,False
target__lag60_tmax_c__is_missing,strict,target_memory,mixed,finalized target labels at T-2 or older only,True,False,False
target__lag7_tmax_c,strict,target_memory,mixed,finalized target labels at T-2 or older only,True,False,False
target__lag7_tmax_c__is_missing,strict,target_memory,mixed,finalized target labels at T-2 or older only,True,False,False
target__range14_lag2_c,strict,target_memory,mixed,finalized target labels at T-2 or older only,True,False,False
target__range14_lag2_c__is_missing,strict,target_memory,mixed,finalized target labels at T-2 or older only,True,False,False
target__range7_lag2_c,strict,target_memory,mixed,finalized target labels at T-2 or older only,True,False,False
target__range7_lag2_c__is_missing,strict,target_memory,mixed,finalized target labels at T-2 or older only,True,False,False
target__roll14_mean_lag2_c,strict,target_memory,mixed,finalized target labels at T-2 or older only,True,False,False
target__roll14_mean_lag2_c__is_missing,strict,target_memory,mixed,finalized target labels at T-2 or older only,True,False,False
target__roll14_std_lag2_c,strict,target_memory,mixed,finalized target labels at T-2 or older only,True,False,False
target__roll14_std_lag2_c__is_missing,strict,target_memory,mixed,finalized target labels at T-2 or older only,True,False,False
target__roll30_mean_lag2_c,strict,target_memory,mixed,finalized target labels at T-2 or older only,True,False,False
target__roll30_mean_lag2_c__is_missing,strict,target_memory,mixed,finalized target labels at T-2 or older only,True,False,False
target__roll30_std_lag2_c,strict,target_memory,mixed,finalized target labels at T-2 or older only,True,False,False
target__roll30_std_lag2_c__is_missing,strict,target_memory,mixed,finalized target labels at T-2 or older only,True,False,False
target__roll365_mean_lag2_c,strict,target_memory,mixed,finalized target labels at T-2 or older only,True,False,False
target__roll365_mean_lag2_c__is_missing,strict,target_memory,mixed,finalized target labels at T-2 or older only,True,False,False
target__roll60_mean_lag2_c,strict,target_memory,mixed,finalized target labels at T-2 or older only,True,False,False
target__roll60_mean_lag2_c__is_missing,strict,target_memory,mixed,finalized target labels at T-2 or older only,True,False,False
target__roll7_mean_lag2_c,strict,target_memory,mixed,finalized target labels at T-2 or older only,True,False,False
target__roll7_mean_lag2_c__is_missing,strict,target_memory,mixed,finalized target labels at T-2 or older only,True,False,False
target__roll7_minus_roll30_c,strict,target_memory,mixed,finalized target labels at T-2 or older only,True,False,False
target__roll7_minus_roll30_c__is_missing,strict,target_memory,mixed,finalized target labels at T-2 or older only,True,False,False
target__roll7_std_lag2_c,strict,target_memory,mixed,finalized target labels at T-2 or older only,True,False,False
target__roll7_std_lag2_c__is_missing,strict,target_memory,mixed,finalized target labels at T-2 or older only,True,False,False
target__slope30_lag2_c_per_day,strict,target_memory,mixed,finalized target labels at T-2 or older only,True,False,False
target__slope30_lag2_c_per_day__is_missing,strict,target_memory,mixed,finalized target labels at T-2 or older only,True,False,False
target__slope7_lag2_c_per_day,strict,target_memory,mixed,finalized target labels at T-2 or older only,True,False,False
target__slope7_lag2_c_per_day__is_missing,strict,target_memory,mixed,finalized target labels at T-2 or older only,True,False,False
target__slope7_minus_slope30_lag2_c_per_day,strict,target_memory,mixed,finalized target labels at T-2 or older only,True,False,False
target__slope7_minus_slope30_lag2_c_per_day__is_missing,strict,target_memory,mixed,finalized target labels at T-2 or older only,True,False,False
target__warming_trend_10y_c_per_year,strict,target_memory,mixed,finalized target labels at T-2 or older only,True,False,False
target__warming_trend_10y_c_per_year__is_missing,strict,target_memory,mixed,finalized target labels at T-2 or older only,True,False,False
target__year_index,strict,target_memory,mixed,finalized target labels at T-2 or older only,True,False,False
